address,buurt,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Hasebroekstraat 00060,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,83,115,233000.0,233000.0,293000.0,341000.0,335000.0,445000.0,487000.0,519000.0,561000.0,551000
Jaffastraat 00060,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,66,136000.0,135000.0,149000.0,180000.0,205000.0,222000.0,244000.0,245000.0,305000.0,306000
Bilderdijkstraat 00061,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,90,85,243000.0,243000.0,283000.0,298000.0,316000.0,348000.0,372000.0,429000.0,537000.0,472000
Bilderdijkstraat 00062,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,70,182000.0,183000.0,259000.0,264000.0,294000.0,356000.0,378000.0,420000.0,441000.0,370000
Bilderdijkstraat 62-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,100,232000.0,233000.0,258000.0,262000.0,301000.0,374000.0,317000.0,408000.0,457000.0,453000
Cremerplein 00062,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,84,195000.0,196000.0,227000.0,275000.0,296000.0,348000.0,386000.0,411000.0,449000.0,427000
Cremerstraat 00062,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,83,82,184000.0,184000.0,216000.0,240000.0,309000.0,318000.0,346000.0,375000.0,440000.0,475000
Hasebroekstraat 00062,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,78,101,230000.0,230000.0,277000.0,319000.0,328000.0,425000.0,462000.0,490000.0,581000.0,552000
Jaffastraat 00062,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,66,136000.0,135000.0,149000.0,180000.0,205000.0,222000.0,244000.0,245000.0,305000.0,306000
Bilderdijkstraat 00063,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,63,158000.0,159000.0,210000.0,203000.0,223000.0,270000.0,288000.0,320000.0,379000.0,333000
Bilderdijkstraat 63-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,85,187000.0,188000.0,233000.0,242000.0,292000.0,310000.0,332000.0,361000.0,408000.0,410000
Cremerplein 00063,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,90,178000.0,179000.0,208000.0,282000.0,309000.0,321000.0,349000.0,356000.0,428000.0,464000
Bilderdijkstraat 00064,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,60,145000.0,146000.0,192000.0,196000.0,216000.0,261000.0,278000.0,308000.0,373000.0,328000
Bilderdijkstraat 64-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,97,182000.0,183000.0,206000.0,239000.0,275000.0,345000.0,291000.0,379000.0,425000.0,421000
Cremerplein 00064,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,79,196000.0,197000.0,239000.0,232000.0,256000.0,272000.0,292000.0,317000.0,352000.0,345000
Cremerstraat 00064,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1920,83,109,189000.0,189000.0,212000.0,235000.0,302000.0,382000.0,418000.0,465000.0,534000.0,549000
Hasebroekstraat 00064,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,72,101,225000.0,225000.0,273000.0,316000.0,325000.0,422000.0,459000.0,490000.0,576000.0,547000
Jaffastraat 00064,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,74,136000.0,135000.0,149000.0,181000.0,205000.0,261000.0,285000.0,273000.0,366000.0,311000
Bilderdijkstraat 00065,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,95,126000.0,126000.0,176000.0,207000.0,234000.0,257000.0,284000.0,360000.0,384000.0,375000
Bilderdijkstraat 65-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,76,153000.0,152000.0,154000.0,183000.0,228000.0,244000.0,264000.0,289000.0,305000.0,321000
Bilderdijkstraat 65-BSA,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,83,164000.0,163000.0,166000.0,199000.0,248000.0,266000.0,287000.0,315000.0,319000.0,341000
Cremerplein 00065,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,90,192000.0,193000.0,222000.0,282000.0,309000.0,321000.0,342000.0,390000.0,450000.0,487000
Bilderdijkstraat 00066,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,60,145000.0,146000.0,192000.0,197000.0,216000.0,261000.0,278000.0,309000.0,373000.0,328000
Bilderdijkstraat 66-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,112,206000.0,207000.0,273000.0,335000.0,390000.0,375000.0,326000.0,420000.0,464000.0,459000
Cremerplein 00066,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,95,180000.0,181000.0,218000.0,297000.0,325000.0,338000.0,368000.0,375000.0,451000.0,486000
Cremerstraat 00066,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,82,114,194000.0,194000.0,223000.0,245000.0,317000.0,326000.0,437000.0,475000.0,539000.0,562000
Hasebroekstraat 00066,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,67,101,190000.0,190000.0,237000.0,280000.0,288000.0,385000.0,422000.0,481000.0,563000.0,534000
Jaffastraat 00066,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,66,136000.0,135000.0,149000.0,180000.0,205000.0,222000.0,244000.0,245000.0,305000.0,306000
Bilderdijkstraat 00067,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,85,85,224000.0,224000.0,266000.0,294000.0,312000.0,344000.0,368000.0,425000.0,529000.0,464000
Cremerplein 00067,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,84,208000.0,209000.0,239000.0,275000.0,296000.0,348000.0,386000.0,411000.0,449000.0,407000
Bilderdijkstraat 00068,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,60,139000.0,139000.0,182000.0,184000.0,204000.0,228000.0,242000.0,269000.0,280000.0,276000
Cremerplein 00068,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,84,195000.0,196000.0,204000.0,230000.0,243000.0,283000.0,312000.0,370000.0,407000.0,399000
Cremerstraat 00068,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,82,115,190000.0,190000.0,216000.0,237000.0,390000.0,392000.0,428000.0,466000.0,535000.0,555000
Jaffastraat 00068,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,74,136000.0,135000.0,149000.0,180000.0,205000.0,222000.0,234000.0,262000.0,342000.0,338000
Bilderdijkstraat 0068A,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,49,151000.0,150000.0,177000.0,185000.0,214000.0,272000.0,298000.0,312000.0,364000.0,296000
Bilderdijkstraat 0068B,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,43,140000.0,139000.0,150000.0,173000.0,200000.0,249000.0,273000.0,285000.0,308000.0,292000
Bilderdijkstraat 00069,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,89,118,242000.0,242000.0,282000.0,298000.0,315000.0,347000.0,475000.0,551000.0,685000.0,553000
