address,buurt,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Alpenpad 00001,Lunetten-Zuid,2000,62,87,201000.0,201000,205000.0,225000.0,237000,249000.0,272000.0,308000,372000,383000
Ardennen 00001,Lunetten-Zuid,1978,0,68,118000.0,117000,152000.0,176000.0,196000,215000.0,247000.0,265000,272000,282000
Azoren 00001,Lunetten-Zuid,1979,135,100,203000.0,203000,263000.0,282000.0,299000,333000.0,363000.0,370000,416000,440000
Balearen 00001,Lunetten-Zuid,1978,187,140,258000.0,259000,294000.0,339000.0,351000,385000.0,429000.0,487000,572000,570000
Carolinen 00001,Lunetten-Zuid,1985,223,94,214000.0,214000,239000.0,255000.0,308000,352000.0,363000.0,392000,457000,517000
Cevennen 00001,Lunetten-Zuid,1979,144,140,242000.0,242000,279000.0,323000.0,335000,370000.0,413000.0,472000,526000,524000
Chathams 00001,Lunetten-Zuid,1985,165,97,199000.0,199000,226000.0,263000.0,296000,339000.0,351000.0,380000,445000,470000
Eifel 00001,Lunetten-Zuid,1979,171,133,254000.0,255000,295000.0,312000.0,345000,378000.0,408000.0,461000,547000,537000
Etna 00001,Lunetten-Zuid,1984,275,88,216000.0,216000,257000.0,302000.0,332000,352000.0,367000.0,390000,479000,543000
Galápagos 00001,Lunetten-Zuid,1985,199,94,208000.0,209000,245000.0,268000.0,287000,325000.0,344000.0,378000,422000,487000
Graafschap 00001,Lunetten-Zuid,1981,129,99,212000.0,212000,271000.0,288000.0,294000,336000.0,362000.0,375000,451000,419000
Himalaya 00001,Lunetten-Zuid,1984,0,64,115000.0,114000,122000.0,135000.0,154000,174000.0,194000.0,219000,286000,289000
Maskarenen 00001,Lunetten-Zuid,1985,164,103,217000.0,228000,244000.0,293000.0,317000,335000.0,368000.0,390000,451000,416000
Matterhorn 00001,Lunetten-Zuid,1984,177,95,175000.0,175000,246000.0,261000.0,290000,315000.0,345000.0,383000,435000,449000
Orkaden 00001,Lunetten-Zuid,1978,0,48,106000.0,107000,118000.0,132000.0,154000,174000.0,191000.0,213000,237000,218000
Salzburg 00001,Lunetten-Zuid,1984,150,79,173000.0,175000,208000.0,242000.0,272000,283000.0,292000.0,338000,393000,422000
Seychellen 00001,Lunetten-Zuid,1985,272,79,,186000,192000.0,238000.0,323000,327000.0,336000.0,377000,437000,501000
Taunus 00001,Lunetten-Zuid,1979,128,149,200000.0,200000,233000.0,274000.0,287000,303000.0,360000.0,390000,467000,471000
Tongas 00001,Lunetten-Zuid,1985,159,98,206000.0,207000,224000.0,273000.0,289000,319000.0,339000.0,376000,418000,452000
Antillen 00002,Lunetten-Zuid,1979,224,136,239000.0,239000,280000.0,298000.0,332000,365000.0,396000.0,450000,509000,503000
Aucklands 00002,Lunetten-Zuid,1985,0,77,159000.0,159000,178000.0,190000.0,210000,232000.0,294000.0,305000,360000,384000
Azoren 00002,Lunetten-Zuid,1978,144,103,214000.0,214000,245000.0,287000.0,299000,316000.0,317000.0,357000,453000,467000
Balearen 00002,Lunetten-Zuid,1978,151,107,186000.0,186000,216000.0,272000.0,285000,303000.0,303000.0,343000,424000,456000
Betuwe 00002,Lunetten-Zuid,1981,0,82,147000.0,146000,151000.0,155000.0,175000,220000.0,239000.0,272000,315000,300000
Catalonië 00002,Lunetten-Zuid,1984,131,92,178000.0,186000,191000.0,222000.0,253000,264000.0,272000.0,314000,381000,403000
Chathams 00002,Lunetten-Zuid,1984,0,44,103000.0,102000,109000.0,138000.0,154000,172000.0,191000.0,218000,249000,253000
Filipijnen 00002,Lunetten-Zuid,1985,229,94,214000.0,216000,245000.0,295000.0,311000,341000.0,361000.0,398000,438000,515000
Galápagos 00002,Lunetten-Zuid,1985,140,94,193000.0,194000,210000.0,260000.0,283000,301000.0,334000.0,356000,430000,439000
Hebriden 00002,Lunetten-Zuid,1978,0,117,162000.0,163000,178000.0,211000.0,251000,272000.0,317000.0,330000,358000,369000
Himalaya 00002,Lunetten-Zuid,1985,0,64,119000.0,118000,122000.0,135000.0,154000,174000.0,194000.0,219000,286000,289000
Jura 00002,Lunetten-Zuid,1979,124,102,168000.0,168000,223000.0,239000.0,269000,300000.0,324000.0,354000,412000,431000
Kent 00002,Lunetten-Zuid,1984,0,69,115000.0,103000,123000.0,137000.0,158000,178000.0,198000.0,223000,288000,274000
Liemers 00002,Lunetten-Zuid,1981,0,75,142000.0,142000,142000.0,158000.0,175000,198000.0,216000.0,243000,296000,287000
Lofoten 00002,Lunetten-Zuid,1978,112,96,163000.0,163000,218000.0,234000.0,264000,295000.0,319000.0,326000,392000,409000
Lombardije 00002,Lunetten-Zuid,1984,224,112,239000.0,239000,326000.0,326000.0,374000,359000.0,392000.0,434000,486000,484000
Maskarenen 00002,Lunetten-Zuid,1985,160,94,202000.0,204000,220000.0,270000.0,292000,311000.0,344000.0,366000,439000,461000
Matterhorn 00002,Lunetten-Zuid,1984,130,95,164000.0,164000,235000.0,250000.0,279000,304000.0,333000.0,362000,413000,398000
Normandië 00002,Lunetten-Zuid,1983,0,93,149000.0,149000,157000.0,169000.0,198000,219000.0,245000.0,276000,326000,325000
Orkaden 00002,Lunetten-Zuid,1977,0,62,106000.0,108000,119000.0,134000.0,156000,176000.0,194000.0,217000,239000,260000
Salzburg 00002,Lunetten-Zuid,1985,437,112,283000.0,284000,332000.0,331000.0,368000,379000.0,415000.0,445000,514000,587000
Seychellen 00002,Lunetten-Zuid,1985,0,64,,118000,122000.0,135000.0,154000,174000.0,194000.0,219000,286000,289000
Simplonbaan 00002,Lunetten-Zuid,1978,0,68,108000.0,107000,129000.0,169000.0,191000,225000.0,243000.0,257000,250000,268000
Stromboli 00002,Lunetten-Zuid,1984,0,80,169000.0,169000,204000.0,236000.0,264000,286000.0,303000.0,323000,398000,423000
Taunus 00002,Lunetten-Zuid,1979,149,140,224000.0,224000,262000.0,324000.0,335000,369000.0,413000.0,471000,528000,526000
Tongas 00002,Lunetten-Zuid,1985,146,98,202000.0,203000,219000.0,269000.0,284000,314000.0,334000.0,371000,412000,438000
Treek 00002,Lunetten-Zuid,1981,0,75,142000.0,142000,144000.0,158000.0,169000,190000.0,216000.0,245000,296000,287000
Vogezen 00002,Lunetten-Zuid,1977,0,62,106000.0,98000,119000.0,134000.0,156000,176000.0,194000.0,217000,239000,260000
Walcheren 00002,Lunetten-Zuid,1983,0,49,100000.0,99000,94000.0,127000.0,146000,165000.0,170000.0,214000,248000,262000
Cevennen 0002A,Lunetten-Zuid,1979,204,132,305000.0,306000,359000.0,381000.0,424000,465000.0,505000.0,572000,635000,644000
Amiranten 00003,Lunetten-Zuid,1985,0,124,119000.0,118000,122000.0,135000.0,154000,174000.0,194000.0,219000,286000,289000
Ardennen 00003,Lunetten-Zuid,1978,0,65,116000.0,115000,134000.0,152000.0,168000,178000.0,206000.0,257000,269000,279000
Azoren 00003,Lunetten-Zuid,1979,131,136,238000.0,238000,260000.0,297000.0,331000,364000.0,395000.0,449000,508000,501000
Balearen 00003,Lunetten-Zuid,1978,152,100,210000.0,210000,244000.0,285000.0,297000,313000.0,315000.0,355000,450000,468000
