address,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Roerstraat 00050,1992,0.0,79,168000.0,167000.0,173000.0,200000.0,231000.0,261000.0,285000.0,323000.0,379000.0,369000.0
Scheldestraat 00050,1978,127.0,85,215000.0,215000.0,248000.0,275000.0,304000.0,362000.0,397000.0,469000.0,499000.0,475000.0
Schipbeekstraat 00050,1919,0.0,88,194000.0,194000.0,238000.0,246000.0,272000.0,311000.0,351000.0,393000.0,520000.0,485000.0
Socrateslaan 00050,1939,0.0,100,183000.0,181000.0,215000.0,285000.0,321000.0,341000.0,373000.0,401000.0,474000.0,512000.0
Spaarnestraat 00050,1919,117.0,88,192000.0,192000.0,224000.0,238000.0,263000.0,303000.0,342000.0,386000.0,507000.0,472000.0
Spuistraat 00050,1919,55.0,64,140000.0,139000.0,143000.0,185000.0,232000.0,285000.0,255000.0,350000.0,356000.0,380000.0
Vlisthof 00050,1992,0.0,69,169000.0,167000.0,183000.0,191000.0,226000.0,253000.0,277000.0,300000.0,385000.0,380000.0
Volkerakstraat 00050,1931,71.0,95,170000.0,170000.0,203000.0,282000.0,299000.0,302000.0,326000.0,335000.0,443000.0,477000.0
Waalstraat 00050,1981,0.0,55,138000.0,139000.0,138000.0,162000.0,182000.0,192000.0,210000.0,234000.0,298000.0,310000.0
Westravenstraat 00050,1996,130.0,117,240000.0,240000.0,266000.0,282000.0,389000.0,439000.0,463000.0,502000.0,552000.0,556000.0
Wielingenplein 00050,1935,105.0,97,267000.0,268000.0,315000.0,363000.0,402000.0,417000.0,447000.0,519000.0,615000.0,594000.0
Amstelstraat 0050A,1999,0.0,67,151000.0,159000.0,164000.0,185000.0,214000.0,240000.0,254000.0,258000.0,327000.0,321000.0
Amaliadwarsstraat 00051,1996,0.0,81,192000.0,193000.0,178000.0,195000.0,225000.0,251000.0,274000.0,284000.0,400000.0,385000.0
Amaliastraat 00051,1910,0.0,38,146000.0,145000.0,150000.0,164000.0,207000.0,212000.0,233000.0,257000.0,271000.0,303000.0
Amerhof 00051,1979,0.0,24,79000.0,78000.0,79000.0,82000.0,95000.0,106000.0,116000.0,129000.0,176000.0,173000.0
Amstelstraat 00051,1999,0.0,100,226000.0,240000.0,222000.0,242000.0,268000.0,305000.0,335000.0,392000.0,538000.0,527000.0
Berkelstraat 00051,1919,85.0,64,172000.0,172000.0,182000.0,227000.0,380000.0,309000.0,336000.0,368000.0,439000.0,432000.0
Croesestraat 00051,1906,91.0,90,217000.0,217000.0,307000.0,355000.0,324000.0,418000.0,447000.0,485000.0,529000.0,523000.0
Dinkelstraat 00051,1979,0.0,28,100000.0,101000.0,102000.0,106000.0,116000.0,129000.0,141000.0,157000.0,188000.0,214000.0
Dommelstraat 00051,1982,0.0,53,,149000.0,153000.0,175000.0,191000.0,213000.0,232000.0,258000.0,275000.0,254000.0
Giessenplein 00051,1990,0.0,70,169000.0,167000.0,189000.0,220000.0,279000.0,304000.0,332000.0,362000.0,464000.0,385000.0
Hoendiepstraat 00051,1926,79.0,72,189000.0,189000.0,226000.0,280000.0,307000.0,345000.0,365000.0,387000.0,514000.0,456000.0
Jutfaseweg 00051,1920,0.0,85,169000.0,170000.0,186000.0,230000.0,265000.0,274000.0,298000.0,335000.0,418000.0,406000.0
Lingestraat 00051,1999,0.0,100,226000.0,239000.0,221000.0,241000.0,266000.0,304000.0,333000.0,391000.0,535000.0,525000.0
Merwedestraat 00051,1928,80.0,72,216000.0,216000.0,253000.0,264000.0,317000.0,356000.0,377000.0,414000.0,452000.0,463000.0
Mijdrechtstraat 00051,1973,122.0,116,246000.0,246000.0,290000.0,338000.0,337000.0,374000.0,411000.0,464000.0,546000.0,575000.0
Noordzeestraat 00051,2009,95.0,122,272000.0,273000.0,430000.0,436000.0,482000.0,512000.0,529000.0,535000.0,705000.0,639000.0
Reitdiepstraat 00051,2006,0.0,82,177000.0,175000.0,237000.0,257000.0,346000.0,364000.0,384000.0,362000.0,451000.0,419000.0
Rijnlaan 00051,1927,0.0,70,163000.0,164000.0,169000.0,238000.0,274000.0,263000.0,278000.0,310000.0,403000.0,383000.0
Rijnlaan 51-BS,1927,0.0,85,178000.0,179000.0,197000.0,217000.0,263000.0,303000.0,330000.0,344000.0,416000.0,438000.0
Scheldestraat 00051,1920,62.0,71,163000.0,163000.0,173000.0,208000.0,249000.0,286000.0,315000.0,382000.0,410000.0,384000.0
Schipbeekstraat 00051,1919,109.0,86,190000.0,190000.0,222000.0,230000.0,254000.0,294000.0,332000.0,374000.0,494000.0,460000.0
Spaarnestraat 00051,1919,0.0,88,193000.0,193000.0,226000.0,240000.0,266000.0,306000.0,345000.0,388000.0,510000.0,475000.0
Vlisthof 00051,1992,0.0,69,169000.0,167000.0,183000.0,191000.0,226000.0,253000.0,277000.0,300000.0,385000.0,380000.0
Waalstraat 00051,1932,110.0,75,211000.0,211000.0,251000.0,318000.0,336000.0,356000.0,362000.0,420000.0,534000.0,536000.0
Westravenstraat 00051,1919,58.0,88,203000.0,203000.0,256000.0,309000.0,321000.0,374000.0,402000.0,470000.0,516000.0,468000.0
Amaliastraat 0051A,1910,0.0,31,120000.0,119000.0,123000.0,129000.0,165000.0,169000.0,185000.0,206000.0,245000.0,241000.0
Rijnlaan 0051A,1927,0.0,72,155000.0,156000.0,190000.0,252000.0,300000.0,289000.0,305000.0,337000.0,453000.0,417000.0
Rijnlaan 51A-BS,1927,0.0,85,165000.0,166000.0,184000.0,217000.0,263000.0,303000.0,330000.0,344000.0,416000.0,438000.0
Amaliastraat 0051B,1910,0.0,30,122000.0,121000.0,125000.0,130000.0,167000.0,171000.0,187000.0,207000.0,263000.0,252000.0
Amaliastraat 00052,1904,72.0,111,260000.0,261000.0,298000.0,404000.0,385000.0,477000.0,485000.0,531000.0,633000.0,529000.0
Amerhof 00052,1979,0.0,24,79000.0,78000.0,79000.0,82000.0,95000.0,106000.0,116000.0,129000.0,176000.0,173000.0
Amstelstraat 00052,1999,0.0,67,151000.0,159000.0,164000.0,185000.0,214000.0,240000.0,254000.0,258000.0,327000.0,321000.0
