regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
Parkwijk-Zuid,Utrecht,BU03440942,3750.0,9366.0,34.0,2283.0864197530864,534.0709779712216,42.7,34.2,26.3,29.012345679012345,3544.0,1,2850.0,486.0,472.0,479,485,136.0,1.48,1.25
Langerak,Utrecht,BU03440943,4575.0,5301.0,26.0,2473.58024691358,665.1347254963832,50.8,41.6,34.0,28.88888888888889,3544.0,1,1957.0,527.0,523.0,532,537,111.74,1.72,0.94
Rijnvliet,Utrecht,BU03440951,2330.0,2749.0,12.0,3114.567901234568,86.91358024691363,68.74972578475372,49.48309745340592,34.0,20.246913580246915,3545.0,1,819.0,706.0,653.0,648,616,56.46,-0.77,-4.94
Haarzuilens en omgeving,Utrecht,BU03441012,609.9999999999999,77.0,8.0,3892.5925925925926,1696.1328056517475,49.133930796414624,38.600000000000016,43.7,-7.464451755268609,3455.0,3,114.0,837.0,869.0,885,914,82.95,1.84,3.28
Vleuten,Utrecht,BU03441013,8700.0,3913.0,17.0,2832.939220702041,843.5007321530032,50.6,39.29999999999999,43.938028673757344,58.641975308641975,3451.0,1,1265.0,542.0,564.0,568,589,127.42,0.71,3.7
Leidsche Rijn Park,Utrecht,BU03441014,985.0,525.0,0.0,4408.945191291426,1149.0123456790122,79.70000000000003,52.899999999999984,67.30000000000001,-9.968436393886195,3451.0,1,1533.0,1000.0,1015.0,1091,1091,87.27,7.49,0.0
Vleuterweide-West,Utrecht,BU03441021,6060.0,7690.0,22.0,2902.716049382716,464.23467858099787,51.6,38.89999999999999,51.900000000000006,38.641975308641975,3452.0,2,1523.0,607.0,597.0,625,640,105.15,4.69,2.4
Vleuterweide-Noord/Oost/Centrum,Utrecht,BU03441022,7595.0,7858.0,21.0,2750.3397103011766,523.5176763849782,55.30000000000001,39.8,44.19999999999999,59.01234567901236,3452.0,3,1825.0,570.0,542.0,562,572,104.53,3.69,1.78
Vleuterweide-Zuid,Utrecht,BU03441023,4960.0,6107.0,18.0,3370.688542129044,802.7685505404721,60.20000000000001,40.69999999999999,57.89999999999999,29.382716049382715,3452.0,1,1629.0,661.0,647.0,642,645,131.9,-0.77,0.47
Veldhuizen,Utrecht,BU03441024,9210.0,5579.0,20.0,2771.111111111112,737.1021155321722,46.500000000000014,37.2,39.99999999999999,57.65432098765433,3453.0,1,1541.0,530.0,512.0,525,535,105.62,2.54,1.9
De Meern-Noord,Utrecht,BU03441031,5995.0,4103.0,16.0,2963.456790123457,894.2932184242633,55.10000000000001,42.8,45.49999999999999,49.01234567901235,3454.0,1,1865.0,614.0,627.0,633,642,114.73,0.96,1.42
De Meern-Zuid,Utrecht,BU03441032,6510.0,1694.0,17.0,2530.617283950617,937.8685605220908,43.6,35.000000000000014,27.5,48.51851851851852,3454.0,1,1505.0,502.0,486.0,487,486,107.69,0.21,-0.21
Bedrijvengebied Oudenrijn,Utrecht,BU03441033,265.0,166.0,0.0,3478.598932154702,1036.985190874844,80.40000000000002,66.00000000000001,42.900000000000006,-39.13961451506317,3454.0,1,1000.0,750.0,743.0,793,775,63.3,6.73,-2.27
Rijnenburg,Utrecht,BU03441041,260.0,25.0,0.0,4397.777777777777,1984.751708632656,30.60000000000001,29.100000000000005,23.80983634991401,0.0,3546.0,2,207.0,1011.0,1075.0,1134,1134,71.45,5.49,0.0
