regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
Roland Holstbuurt,Delft,BU05032405,3820.0,11973.0,26.0,2435.555555555556,793.8271604938271,32.2,31.90000000000001,9.9,54.06177009311598,2623.9999999999995,1,4678.0,263.0,259.0,267,273,89.05,3.09,2.25
Voorhof-Hoogbouw,Delft,BU05032406,2555.0,23854.0,32.0,2064.226248655003,49.68384726257637,33.1,26.3,4.300000000000001,9.25925925925926,2623.9999999999995,1,4405.0,228.0,236.0,247,259,96.67,4.66,4.86
Multatulibuurt,Delft,BU05032407,1780.0,8569.0,79.0,2077.61680078002,516.5432098765431,21.6,16.8,5.900000000000002,9.629629629629632,2623.9999999999995,1,4130.0,279.0,282.0,292,300,85.53,3.55,2.74
Reinier de Graafbuurt,Delft,BU05032500,1050.0,4588.0,53.0,1933.117634809717,430.0,30.7,23.8,3.5,16.819341587087468,2625.0,1,4448.999999999999,191.0,263.0,287,302,148.11,9.13,5.23
Buitenhof-Noord,Delft,BU05032501,4045.0,12882.0,74.99999999999999,1863.636986349633,168.06684492208183,25.300000000000004,22.300000000000004,6.099999999999998,19.62962962962963,2625.0,1,3759.0,220.0,230.0,235,244,70.37,2.17,3.83
Juniusbuurt,Delft,BU05032502,835.0,5138.0,32.0,1556.596916177745,-63.93934575594312,33.19999999999999,29.000000000000007,4.800000000000001,22.653557600136416,2625.0,1,4871.0,215.0,227.0,241,252,92.37,6.17,4.56
Gillisbuurt,Delft,BU05032503,1495.0,14102.0,95.0,3177.6543209876545,755.8024691358024,22.300000000000004,14.3,4.800000000000001,9.629629629629632,2625.0,1,3891.0,189.0,199.0,211,221,65.83,6.03,4.74
Fledderusbuurt,Delft,BU05032504,940.0,5841.0,88.0,1795.0617283950617,-162.1622999426711,26.000000000000004,20.7,3.5,-0.2783701872270718,2625.0,1,3657.0,210.0,219.0,225,234,79.51,2.74,4.0
Het Rode Dorp,Delft,BU05032505,930.0,8886.0,98.0,1636.5234569925813,28.23823786857065,23.8,18.600000000000005,2.3000000000000007,-29.154669376384486,2625.0,1,4782.0,178.0,187.0,199,210,64.04,6.42,5.53
Pijperring,Delft,BU05032506,639.9999999999999,7055.0,65.0,1862.8395061728395,19.778424476135346,27.6,24.500000000000004,6.5,-5.531088259449479,2625.0,1,4356.0,245.0,254.0,260,267,92.42,2.36,2.69
Verzetstrijdersbuurt,Delft,BU05032507,2180.0,7034.0,51.0,2167.549809840685,759.0656238107132,33.79999999999999,29.800000000000004,20.0,9.753086419753089,2625.0,1,3092.0,308.0,325.0,335,347,78.57,3.08,3.58
Vrijheidsbuurt,Delft,BU05032508,1630.0,9784.0,24.0,2150.246913580247,834.320987654321,34.0,30.1,8.500986503318844,9.753086419753089,2625.0,1,4025.0,303.0,312.0,320,322,86.83,2.56,0.62
Buitenhof-Zuid,Delft,BU05032509,775.0,5605.0,0.0,2988.271604938272,1028.3367922682626,48.99999999999999,41.0,38.0957643772386,-8.520311023815832,2625.0,1,3061.0,475.0,493.0,516,535,76.07,4.67,3.68
Zeeheldenbuurt,Delft,BU05032800,1630.0,11249.0,26.0,2362.83950617284,844.0836372572273,41.70000000000001,34.499999999999986,20.43847660583896,9.753086419753089,2628.0,1,4746.0,462.0,474.0,487,499,96.68,2.74,2.46
TU-Noord,Delft,BU05032801,1135.0,3774.0,78.0,1868.0246913580247,369.25925925925935,22.03704672068273,20.1,4.899999999999999,1.4632645125435282,2628.0,1,4167.0,240.0,263.0,274,286,71.9,4.18,4.38
Wippolder-Noord,Delft,BU05032802,2320.0,11602.0,34.0,2233.703703703704,695.6943977011219,30.6,27.099999999999994,13.7,19.753086419753085,2628.0,1,3311.0,366.0,372.0,386,395,95.79,3.76,2.33
